url,stage,apartment number,floor,total area,rooms,internal area,external area,status,price with VAT,discounted price
https://www.ceresne.sk/ponuka-bytov/byt/t122/,Plaza,T122,12,"101,02",4,"95,55","5,47",Voľný,486306,422875
https://www.ceresne.sk/ponuka-bytov/byt/t63/,Plaza,T63,6,"31,19",1,"28,59","2,60",Voľný,189801,165044
https://www.ceresne.sk/ponuka-bytov/byt/r165/,Residence,R165,16,"61,20",2,"49,37","11,83",Voľný,317077,294955
https://www.ceresne.sk/ponuka-bytov/byt/u214/,Plaza,U214,2,"66,87",3,"61,07","5,80",Voľný,329657,286658
https://www.ceresne.sk/ponuka-bytov/byt/u122/,Plaza,U122,12,"31,32",1,"28,47","2,85",Voľný,202819,176364
https://www.ceresne.sk/ponuka-bytov/byt/r51/,Residence,R51,5,"86,54",3,"74,70","11,84",Voľný,370137,324314
https://www.ceresne.sk/ponuka-bytov/byt/p66/,Residence,P66,6,"81,72",3,"75,80","5,92",Rezervovaný,-,-
https://www.ceresne.sk/ponuka-bytov/byt/t46/,Plaza,T46,4,"34,19",1,"31,29","2,90",Voľný,195591,170080
https://www.ceresne.sk/ponuka-bytov/byt/r162/,Residence,R162,16,"53,33",2,"47,41","5,92",Voľný,291036,270731
https://www.ceresne.sk/ponuka-bytov/byt/t115/,Plaza,T115,11,"65,30",3,"58,98","6,32",Rezervovaný,-,-
https://www.ceresne.sk/ponuka-bytov/byt/p64/,Residence,P64,6,"44,48","1,5","38,56","5,92",Voľný,221026,205606
https://www.ceresne.sk/ponuka-bytov/byt/t310/,Plaza,T310,3,"47,56",2,"43,38","4,18",Voľný,272763,237185
https://www.ceresne.sk/ponuka-bytov/byt/u106/,Plaza,U106,10,"34,22",1,"31,31","2,91",Voľný,207670,180583
https://www.ceresne.sk/ponuka-bytov/byt/r79/,Residence,R79,7,"103,59",3,"70,65","32,94",Voľný,394011,346522
https://www.ceresne.sk/ponuka-bytov/byt/t72/,Plaza,T72,7,"31,58",1,"28,72","2,86",Rezervovaný,-,-
https://www.ceresne.sk/ponuka-bytov/byt/p78/,Residence,P78,7,"86,32",3,"74,49","11,83",Voľný,365810,320288
https://www.ceresne.sk/ponuka-bytov/byt/u142/,Plaza,U142,14,"101,00",4,"95,53","5,47",Voľný,505667,439710
https://www.ceresne.sk/ponuka-bytov/byt/o15/,Residence,O15,1,"127,52",4,"93,53","33,99",Voľný,456852,424979
https://www.ceresne.sk/ponuka-bytov/byt/u133/,Plaza,U133,13,"31,12",1,"28,31","2,81",Voľný,205375,178587
https://www.ceresne.sk/ponuka-bytov/byt/t87/,Plaza,T87,8,"47,45",2,"43,82","3,63",Rezervovaný,-,-
https://www.ceresne.sk/ponuka-bytov/byt/o25/,Residence,O25,2,"105,37",4,"93,53","11,84",Voľný,440076,409373
https://www.ceresne.sk/ponuka-bytov/byt/t31/,Plaza,T31,3,"52,37",2,"46,07","6,30",Voľný,275816,239840
https://www.ceresne.sk/ponuka-bytov/byt/r37/,Residence,R37,3,"87,61",3,"75,78","11,83",Voľný,377901,331536
https://www.ceresne.sk/ponuka-bytov/byt/r410/,Residence,R410,4,"139,33",4,"94,68","44,65",Voľný,515674,479697
https://www.ceresne.sk/ponuka-bytov/byt/u78/,Plaza,U78,7,"66,37",3,"61,07","5,30",Voľný,338103,294003
https://www.ceresne.sk/ponuka-bytov/byt/s105/,UP,S105,1,"62,01",2,"43,78","18,23",Voľný,283829,258026
https://www.ceresne.sk/ponuka-bytov/byt/r166/,Residence,R166,16,"100,92",4,"89,08","11,84",Voľný,494030,459563
https://www.ceresne.sk/ponuka-bytov/byt/u98/,Plaza,U98,9,"66,86",3,"61,07","5,79",Voľný,343312,298532
https://www.ceresne.sk/ponuka-bytov/byt/t105/,Plaza,T105,10,"64,54",3,"58,98","5,56",Rezervovaný,-,-
https://www.ceresne.sk/ponuka-bytov/byt/p27/,Residence,P27,2,"114,88",4,"103,05","11,83",Voľný,470892,438039
